"event_code", "event_name"
109320, "淡江大學財務處預算組113年4月份TQM小組會議"
109319, "淡江大學數學系113學年度微積分選書會議"
109318, "理學院數學學系教師評審委員會113學年度第2次會議 會議紀錄"
109317, "理學院數學學系教師評審委員會113學年度第2次會議"
109316, "淡江大學圖書館參考組112學年度第6次TQM小組會議"
109315, "淡江大學工學院電機工程學系112學年度第2學期第2次系學審委員會議(提案七)"
109313, "淡江大學商管學院運輸管理學系112學年度第2學期第2次TQM會議"
109312, "機械與機電工程學系 113年度智慧機械產學推動計畫- 產業人才扎根分項計畫會議(4/25)"
109311, "資訊處校務資訊組113年4月TQM小組會議"
109310, "淡江西語系大三出國暨暑期遊學團行前說明會(家長座談會)"
109309, "資訊處遞補人員簽-討論會(3)"
109305, "淡江大學工學院先進量子計算研究中心揭牌儀式"
109304, "淡江大學工學院與翰可股份有限公司產學合作計畫案簽約儀式"
109303, "永續設計思考與溫盤實作工作坊"
109302, "淡江大學校教師評審委員會113學年度第1-2次會議"
109301, "淡江大學校教師評審委員會113學年度第1-1次會議"
109300, "會計學系112學年度第2學期第2次TQM會議"
109299, "減碳盤查討論會議"
109298, "淡江大學教務處註冊組TQM小組112學年度第6次會議"
109297, "2024智慧大未來GO! 數位學習深耕講座(1) - 專屬您的研究、教學與行政AI助手"
109296, "智慧大未來-113年4月份工作會議"
109295, "電機系112學年度教師跨領域研究社群--「人工智慧物聯網精進社」第5次活動"
109294, "電機系112學年度教師跨領域研究社群--「人工智慧技術應用於無人機設計、控制與實現社群」第2、3次活動"
109293, "磨課師開課通-課程設計及案例分享"
109292, "淡江大學歷史文化研討會"
109291, "淡江大學土木工程學系112學年度第2學期第2次TQM小組會議"
109290, "水資源及環境工程學系112學年度第2學期第3次全面品質管理小組會議"
109289, "【微學分】AI實作體驗工作坊-「AI分析語言情緒」場次6"
109288, "113年度「大專校院雙語化學習計畫」第一次經費編列會議"
109286, "淡江大學112年教育部人文社會與產業實務創新鏈結計畫 教師共學工作坊"
109285, "淡江大學化學工程與材料工程學系112學年度第1次工程教育認證推動小組會議"
109284, "淡江大學文學院歷史學系教師評審委員會113學年度第2次會議簽到表"
109283, "EMI與戰略學群教師成長社群"
109282, "淡江大學國際事務學院國際事務與戰略研究所112學年度第2學期第2次所務會議"
109281, "國家安全高階講座—美中兩強夾縫中的台灣戰略思考"
109272, "商管學院EMI全英語課程:教學分享與討論座談會(財務金融學系112-1)"
109271, "112學年度第2學期增進學術單位輔導知能工作坊"
109270, "113學年度財務金融學系取得先修碩士班課程資格學生申請說明會(2)"
109269, "113學年度學生事務處研究人員評審委員會會議"
109268, "淡江大學112學年度第2學期二、三年級班代表座談會"
109267, "跳繩實作工作坊-打造自己的燃脂跳繩"
109266, "【2024世界閱讀日】閱謎‧解謎：日本推理文學的秘密 開幕式"
109265, "淡江大學教育學院教育心理與諮商研究所教師評審委員會113學年度第2次會議"
109264, "淡江大學工學院112學年度第2學期第2次院務會議"
109263, "2024淡江戰略學派年會_第三次籌備會"
109262, "淡江大學人力資源處管理企劃組112學年度第6次TQM小組會議"
109261, "淡江大學商管學院公共行政學系112學年度第2學期第2次TQM會議"
109260, "淡江大學理學院教師評審委員會113學年度第2次會議紀錄陳閱單"
109259, "電機系112學年度教師跨領域研究社群--「人工智慧物聯網精進社」第4次活動"
109258, "淡江大學理學院教師評審委員會113學年度第2次會議"
109257, "研究發展處2024產學集智媒合交流會(下午場)"
109256, "研究發展處合作備忘錄簽約儀式暨2024產學集智媒合交流會(上午場)"
109255, "淡江大學人力資源處職能福利組112學年度第5次組務會"
109254, "研究發展處產學推動例會(113年4-2)"
109253, "英文系112學年度--調整114年度必修課程學分課程委員會前會"
109252, "英文系112學年度--調整114年度必修課程學分課程委員會前會"
109250, "淡江大學機械系112學年度第2學期第2次系務會議"
109249, "資訊處前瞻技術組113年4月TQM小組會議"
109242, "育成EIP討論會議0423"
109241, "水資源及環境工程學系 112學年度第2學期第2次系務會議"
109240, "工作坊－輔導經驗交流工作坊"
109239, "113年度「大專校院雙語化學習計畫」第一次經費編列會議"
109238, "【TOEFL「寫作口說」應試技巧講座】"
109237, "淡江大學教育學院教育心理與諮商研究所2024多元共榮諮商實務學術研討會"
109236, "2024俄語詩歌朗誦比賽"
109235, "俄文系校外實習安全講座 (講員: 陳玥合技士)"
109234, "淡江大學外國語文學院英文學系系務會議112學年度第2學期第2次會議"
109233, "資訊處研究人員評審委員會113學年度會議"
109232, "淡江大學文學院資訊與圖書館學系系教師評審會議113學年度第4次會議(陳閱單)"
109231, "淡江大學文學院資訊與圖書館學系系教師評審會議113學年度第4次會議"
109230, "112學年度「淡江大學教師專業成長社群」-法律及公共行政在AI的應用活動簽到單(第3次)"
109229, "淡江大學國際事務學院全球政治經濟學系112學年度第2學期全英語教學教師座談會"
109228, "淡江大學通識教育委員會112學年度第2學期第1次會議"
109227, "【微學分】AI實作體驗工作坊-「AI分析語言情緒」場次5"
109226, "淡江大學國際事務學院112學年度第2學期導師會議"
109225, "113學年度財務金融學系取得先修碩士班課程資格學生申請說明會(1)"
109224, "113年度電子郵件社交工程防治宣導講習"
109223, "「第四屆台灣尤努斯創新獎」徵獎說明會"
109214, "國家安全高階講座—認識美國外交智庫"
109213, "113學年度學生出國留學授旗典禮籌備會"
109212, "國際處週會(1130422)"
109211, "112 EMBA畢業典禮第5次籌備會"
109210, "台德環境永續研究社群活動"
109209, "工學院水資源及環境工程學系大師演講"
109208, "淡江大學總務處總務組112學年度第2學期第1次組務會議"
109207, "淡江大學理學院「國科會113年度補助大專校院研究獎勵申請案」專案小組審查會議"
109206, "遠傳+淡江產學合作會議"
109205, "遠傳+淡江產學合作會議"
109204, "微軟 MCF AI-900 國際證照輔導工作坊"
109203, "電機系112學年度教師跨領域研究社群--「人工智慧物聯網精進社」第3次活動"
109202, "測試"
109201, "淡江大學工學院機械與機電工程學系 113學年度招生委員會第5次會議"
109200, "淡江大學113學年度商管學院企業管理學系教師評審委員會第3次會議紀錄陳閱單"
109199, "淡江大學113學年度商管學院企業管理學系教師評審委員會第3次會議"
109198, "淡江大學理學院化學學系113學年度第2次教師評審委員會-會議紀錄簽名單"
109197, "iClass網路教學平台討論會議"
109196, "淡江大學理學院化學學系113學年度第2次教師評審委員會會議"
109195, "淡江大學人力資源處管理企劃組112學年度第2學期第2次組務會議"
109194, "驚聲大樓「緊急事故應變處理」及「人員急救救護」演練"
