"event_code", "event_name"
106999, "淡江大學112學年度第1學期境外生獎學金審查委員會第5次會議"
106998, "資訊工程學系112學年度第1學期第3次系課程委員會"
106997, "工學院機械與機電工程學系113學年度招生委員會第2次會議"
106996, "教心所全英語授課教師社群"
106995, "淡江大學學術副校長室112學年度第3次院長會議"
106994, "2023 主管工作會議(七)"
106993, "112 學年度第 1 學期「資安及個資保護」教育訓練-第2梯次"
106992, "112 學年度第 1 學期「資安及個資保護」教育訓練-第1梯次"
106991, "淡江大學人工智慧學系112學年度教師評審委員會第5次會議陳閱單"
106990, "淡江大學人工智慧學系112學年度教師評審委員會第5次會議簽到單"
106989, "112學年度學生校外實習暨移地研究成果發表會"
106988, "Happy Life Map 教學共展簽到"
106987, "資訊處教學支援組112年11月TQM小組會議"
106986, "淡江大學工學院航太系112學年度第1學期全英語授課教師社群"
106985, "安全衛生在職訓練-法律知多少？關於職場不法侵害的那些事"
106984, "淡江大學化學學系112學年度第1學期第3次TQM會議"
106983, "淡江大學「112年度歲末聯歡會」工作籌備會議"
106982, "淡江大學師資培育中心112學年度師資培育獎學金續領第一次檢核會議"
106981, "淡江大學師資培育中心112學年度第1學期第3次TQM小組會議"
106980, "淡江大學師資培育中心112學年度第1學期第4次中心會議"
106979, "淡江大學運管系年會籌備討論會議(品管圈-嘟嘟圈)"
106978, "淡江大學圖書館典藏閱覽組112學年度第3次TQM小組會議"
106977, "淡江大學73週年校慶檢討會"
106976, "淡江大學商管學院獎學金審查委員會112學年度第3次會議"
106975, "淡江大學AI創智學院人工智慧學系112學年度第1學期第3次TQM會議簽到單"
106974, "觀光系EMI教師社群日-1"
106973, "第13屆品管圈競賽-救火圈討論會議"
106972, "研究推動委員會112學年度第1學期第1次會議"
106971, "淡江大學工學院電機工程學系112學年度第1學期第2次系學審委員會議"
106970, "淡江大學英文學系課程委員會112學年度第1學期第2次會議"
106969, "【微學分】AI實作體驗工作坊-「AI分析語言情緒」場次5"
106968, "淡江大學高齡健康管理學研究所112學年度第1學期第2次所務會議"
106967, "11/16【微學分】企業AI專題實作訓練營"
106966, "俄文系大專生專題研究計畫分享會"
106965, "淡江大學AI創智學院人工智慧學系112年度智慧製造跨域整合人才培育聯盟計畫簽到單"
106964, "俄文系大專生專題研究計畫分享會"
106963, "商管學院「資訊概論」課程規劃工作會議"
106962, "秘書處文書組112年11月份TQM小組會議"
106961, "淡江大學113年度第三週期大學校院校務評鑑項目三工作小組第1次會議"
106960, "淡江大學113年度第三週期大學校院校務評鑑項目三工作小組第1次會議"
106959, "淡江大學AI創智學院人工智慧學系112學年度第1學期全英語授課教師社群"
106958, "淡江大學研發成果管理委員會112學年度第1次會議"
106957, "112學年度會計學系第4次募款管理委員會"
106956, "育成新系統會議"
106955, "育成新系統會議"
106954, "113年度第三週期大學校院校務評鑑項目一「校務治理與經營」工作小組會議"
106953, "大一必修「英文(一)」課程規劃工作會議"
106952, "淡江大學農情與社區共創學習-AirMagic多肉植物育種農場"
106951, "淡江大學農情與社區共創學習-福成社區"
106950, "淡江大學農情與社區共創學習-富朵苗圃"
106949, "淡江大學航空太空工程學系112學年度第1學期第3次TQM會議"
106948, "誰說你不行? ｜ Youtuber & 創作歌手 Hey It's Dena!"
106947, "【廢柴也能華麗轉身 ‧ 英文自我學習經驗談】"
106946, "淡江大學航空太空工程學系112學年度第1學期第3次TQM會議"
