"event_code", "event_name"
108999, "身心障礙學生職涯討論會暨餐敘"
108998, "公行系未來發展轉型會議陳閱單"
108997, "公行系未來發展轉型會議簽到單"
108995, "112學年度教師專業成長社群「化工與材料相關淨零碳排與永續發展專業成長社群」第3次活動"
108994, "淡江大學資訊管理學系112學年度第5次募款會議"
108987, "淡江大學112學年度化學工程與材料工程學系工程教育認證外部諮詢委員會"
108986, "資訊處遠距中心113年4月TQM小組會議"
108985, "淡江大學教務處招生策略中心TQM小組112學年度第7次會議"
108984, "日文系113學年度【大四上學期國內企業實習說明會】暨【應屆畢業生就職說明會】-老爺大酒店"
108983, "日文系113學年度【大四上學期國內企業實習說明會】暨【應屆畢業生就職說明會】-大倉久和大飯店"
108982, "反思與前瞻:設計思考在探索永續課程中的運用"
108981, "淡江大學外國語文學院德國語文學系教師評審委員會113學年度第1次會議 陳閱單"
108980, "淡江大學高齡健康管理學研究所113學年度第1次教師評審委員會議"
108979, "淡江大學高齡健康管理學研究所113學年度第1次教師評審委員會議"
108978, "淡江大學理學院112學年度第4次募款管理委員會議"
108977, "國際處週會(1130408)"
108976, "理學院尖端材料科學學士學位學程113學年度教師評審委員會第1次會議"
108975, "淡江大學國際事務學院募款管理委員會112學年度第2學期第2次會議"
108974, "淡江大學教務處課務組TQM小組112學年度第6次會議"
108973, "淡江大學外國語文學院日本語文學系113學年度教師評審委員會第1次會議紀錄陳閱"
108972, "淡江大學外國語文學院日本語文學系 113學年度教師評審委員會第1次會議"
108961, "112學年度第2學期榮譽學程(A班)-4/8"
108960, "淡江大學蘭陽行政處112學年度第2學期第3次TQM小組會議"
108959, "淡江大學蘭陽校園112學年度第2學期第3次教學與行政工作會報"
108958, "微軟AI-900證照輔導工作坊"
108957, "淡江大學文學院中國文學學系教師評審委員會113學年度第2次會議(會議紀錄陳閱)"
108956, "淡江大學文學院中國文學學系教師評審委員會113學年度第2次會議"
108955, "淡江大學教育與未來設計學系112學年度第2學期第2次系務會議"
108954, "科技管理課程業師講座(國企系孫嘉祈老師)"
108953, "大三出國心得分享暨Trier/Munchen暑期語言班資訊分享"
108952, "淡江大學國際事務學院全球政治經濟學系系主任遴選委員會"
108951, "ipss 上雲"
108950, "商展行銷課程_自主學習專題_專家諮詢會第二場"
108949, "消費者行為課程_自主學習專題_專家諮詢會第二場"
108948, "商展行銷課程_自主學習專題_專家諮詢會第一場"
108945, "淡江大學外國語文學院德國語文學系 教師評審委員會113學年度第1次會議"
