"event_code", "event_name"
114999, "出納組TQM小組會議114.05"
114998, "淡江大學國際事務與戰略研究所114學年度第2次教師評審委員會會議"
114997, "113學年度第2學期第5次行政主管會報"
114996, "27屆電腦維修服務隊甄試考試1140524"
114995, "戰略所EMI演講－From Ukraine to Taiwan: life at a geopolitical crossroads. What can be learned?"
114994, "【微學分】AI實作體驗工作坊-「AI分析語言情緒」場次04"
114993, "113-2「社會議題探索暨實踐課程」專題7部落旅行「都會區原住民生活體驗」"
114992, "淡江大學學生事務處住宿輔導組113學年度第2學期第4次組務會議"
114991, "淡江大學化學學系113學年度第2學期第3次系務會議"
114990, "有蓮獎學金校級審查委員會113學年度第3次會議"
114989, "淡江大學113學年度精準健康學院第2學期第2次院務會議"
114988, "淡江大學機械與機電工程學系113學年度第2學期第3次系務會議"
114987, "淡江大學人力資源處管理企劃組113學年度第7次TQM小組會議"
114986, "淡江大學理學院物理學系113學年度第2學期第2次系務會議"
114985, "淡江大學圖書館品管圈113學年度第1次圈會"
114984, "俄文系TQM小組113學年度第2學期第4次會議"
114983, "企業管理學系113學年度第2學期第2次TQM會議"
114982, "113年畢業典禮第二次協調會"
114981, "114年度通核中心安全衛生教育訓練"
114980, "淡江大學衛生暨輔導委員會113學年度第2學期會議"
114979, "114年度通核中心個人資料教育訓練資料"
114978, "淡江大學工學院水資源及環境工程學系教師評審委員會 114學年度第2次會議(陳閱單)"
114977, "淡江大學工學院水資源及環境工程學系教師評審委員會 114學年度第2次會議(簽到單)"
114976, "2025資訊週七系聯展"
114975, "理學院應用數學與數據科學學系教師評審委員會114學年第2次會議紀錄委員"
114974, "理學院應用數學與數據科學學系教師評審委員會114學年第2次會議"
114973, "淡江大學收據管理系統教育訓練"
114972, "全英語授課的挑戰與成效—教師視角與學生反饋"
114971, "114年度第1次資通安全通識教育訓練暨電子郵件社交工程防治技巧"
114970, "淡江大學人工智慧學系113學年度專題成果報告(三)"
114969, "淡江大學人工智慧學系113學年度專題成果報告(二)"
114968, "淡江大學人工智慧學系113學年度專題成果報告(一)"
114967, "淡江大學人工智慧學系「人工智慧應用開發」研習會(二)簽到單"
114966, "淡江大學人工智慧學系「人工智慧應用開發」研習會(一)簽到單"
114965, "國際觀光管理學系系務會議113學年度第2學期第2次會議"
114964, "觀光系EMI教師社群日-3"
114963, "國際觀光管理學系募款委員會113學年度第2學期第4次會議"
114962, "國際觀光管理學系TQM會議113學年度第2學期第3次會議"
114960, "「台北場地借用系統」收據開立討論會議"
114959, "淡江大學113學年度社團負責人座談會"
114958, "113學年度會計學系第9次募款管理委員會"
114957, "工學院113學年度第2學期第3次主管會議暨113學年度優良職工推薦會議"
114956, "工學院113學年度第2學期第3次募款委員會會議"
114955, "巨量與掠奪性期刊"
114954, "淡江大學圖書館113學年度第2學期Intranet資料庫後續處理會議"
114953, "淡江大學軍訓室113學年度第2學期5月份專業研討會議議程"
114952, "淡江大學商管學院運輸管理學系113學年度第2學期第3次TQM會議"
114951, "淡江大學114學年度會計學系教師評審委員會第4次會議(陳閱單)"
114950, "淡江大學114學年度會計學系教師評審委員會第4次會議"
114949, "淡江大學資訊工程學系114學年度新聘專任教師面試與投票會議"
114948, "淡江大學AI創智學院113學年度第2學期第2次TQM會議"
114947, "外國語文學院日本語文學系獎學金委員會113學年度第2學期第1次會議"
114946, "113學年度第2次各項工讀助學金小組會議"
114945, "淡江大學113學年度第2學期第2次工學院TQM會議簽到單"
114944, "教務處通識與核心課程中心TQM小組113學年度第8次會議"
114943, "外國語文學院大學部及碩、博士班代表113學年度會議"
114942, "文學院113學年度第2學期iLink第2次月會"
114941, "外語專業結合AI工具，推廣台灣在地文化(法國語文學系陳麗娟老師)"
114940, "2025文學院熊貓講座"
114939, "德國語文學系—台德法院翻譯面面觀"
114936, "淡江大學外國學生華語文教學發展小組113學年度第2次會議"
114934, "淡江大學114學年度財務金融學系教師評審委員會第6次會議"
114933, "淡江大學學生事務處生輔組113學年度第2學期組務會議暨第3次TQM會議"
114932, "113學年度教師社群成果展示暨經驗分享"
114931, "自主學習經驗分享"
114930, "淡江大學教務處113學年度第2學期第2次主管會議"
114929, "智慧推薦創新跨領域研究社群_1140520"
114928, "113學年度第2學期化學系第2次法規委員會"
114927, "2025淡江大學創新創業競賽工讀生簽退"
114926, "2025淡江大學創新創業競賽工讀生簽到"
114925, "2025淡江大學創新創業競賽頒獎典禮-簽退"
114924, "2025淡江大學創新創業競賽頒獎典禮-簽到"
114923, "2025淡江大學創新創業競賽決審活動-簽退"
114922, "2025淡江大學創新創業競賽決審活動-簽到"
114921, "「國科會114年度補助大專校院研究獎勵申請案」審查委員會議"
114920, "2025淡江大學創新創業競賽頒獎典禮-評審"
114919, "2025淡江大學創新創業競賽決審活動-評審"
114917, "淡江大學累積賸餘款基金投資管理委員會第2屆第2次會議"
114916, "【微學分】AI實作體驗工作坊-「AI 影片多國語音轉譯」場次03"
114915, "淡江大學物理系招生委員會113學年度第3次會議"
114914, "淡江大學商管學院經濟學系113學年度第2學期第2次系務會議"
114913, "淡江大學114學年度商管學院國際企業學系教師評審委員會第3次會議紀錄陳閱單"
114912, "淡江大學114 學年度商管學院國際企業學系教師評審委員會第3次會議"
114911, "113學年度德國語文學系小畢典"
114910, "淡江大學國際事務學院全球政治經濟學系113學年度第2學期第4次TQM會議"
114909, "淡江大學國際事務學院全球政治經濟學系113學年度第2學期第3次TQM會議"
114908, "113學年度第2學期校內永續管理師培訓課程：淡江2023永續報告書「翻。易」識讀工作坊"
114907, "通識教育跨領域微學程工作坊"
114906, "土木工程學系114學年度企業實習行前安全講習說明會"
114905, "土木工程學系114學年度企業實習學生校外實習合約書及個別實習計畫書說明會"
114904, "文學經典"
114903, "大學入學申請"
114902, "淡江大學資訊工程學系113學年度第2學期第3次TQM小組會議"
114901, "淡江大學圖書館採編組113學年度第7次TQM小組會議"
114900, "淡江大學國際事務學院教師評審委員會114學年度第2次會議"
114899, "淡江大學113學年度智慧照護產業學研究所第2學期第4次所務會議"
114898, "113學年度淡江大學住宿費(淡水校園)業務繳費證明單作業討論"
114897, "113學年第2學期台北校園自衛消防演練"
114896, "淡江大學國際事務學院外審審查委員小組會議113學年度第2次會議"
114895, "淡江大學113學年度高齡健康管理學研究所第2學期第4次所務會議"
114894, "事務整備組114年5月TQM小組會議"
114893, "淡江大學教育科技學系教師教學經驗分享"
114892, "日本語文學系_頂石成果展開幕式"
114891, "2025淡江大學馬來西亞中學校長團工作人員籌備會議"
114890, "淡江大學114學年度商管學院公共行政學系教師評審委員會第3次會議 簽到單"
114889, "淡江大學114學年度商管學院公共行政學系教師評審委員會第3次會議 陳閱單"
114888, "高教基金會招生影片拍攝會議"
114887, "人力資源處113學年度優良職工審查會"
114886, "管理科學學系【全英語授課教師社群活動】如何讓EMI教學誘發學生學習動機"
114885, "淡江大學114學年度商管學院資訊管理學系 教師評審委員會第4次會議簽到單"
114884, "淡江大學114學年度商管學院資訊管理學系 教師評審委員會第4次會議陳閱單"
114883, "淡江大學教務處教師教學發展中心 TQM小組113學年度第7次會議"
114882, "NVIDIA COMPUTEX 2025 黃仁勳執行長 Keynote Watch Party"
114881, "113度第1學期第1次理學院應用數學與數據科學學系升等委員會議"
114880, "微軟 MCF AZ-900 國際證照輔導工作坊"
114879, "電機系113學年度教師專業成長社群--「電機永續發展社」第4次活動"
114878, "微軟 MCF AZ-900 國際證照輔導工作坊"
114877, "江大學文學院歷史學系教師評審委員會114學年度第2次會議陳閱單"
114876, "江大學文學院歷史學系教師評審委員會114學年度第2次會議簽到單"
114875, "淡江大學校務研究中心成果工作坊"
114874, "113學年度修繕採購委員會第8次會議"
114873, "淡江大學雲端平台服務與資源管理要點(草案)討論會"
114872, "淡江大學研究推動委員會113學年度第3次會議"
114871, "淡江大學英文學教師評審委員會114學年度第2次會議"
114870, "淡江大學學生事務處住宿輔導組113學年度第2學期第4次TQM會議"
114869, "淡江大學工學院化學工程與材料工程學系114學年教師評審委員會第4次會議 【簽到】"
114868, "淡江大學工學院化學工程與材料工程學系114學年教師評審委員會第4次會議 【簽退】"
114867, "淡江大學圖書館參考服務組113學年度第7次TQM小組會議"
114866, "(陳閱單)淡江大學114學年度商管學院運輸管理學系教師評審委員會第3次會議"
114865, "(簽到單)淡江大學114學年度商管學院運輸管理學系教師評審委員會第3次會議"
114864, "淡江大學員工福利委員會113學年度(第51屆)第2次委員會議"
114863, "113學年度會計系畢業典禮籌備會第3次"
114862, "淡江大學國際事務學院院務會議113學年度第2學期第2次會議"
114861, "淡江大學國際事務學院校外實習委員會113學年度第2學期第2次會議"
114860, "NVIDIA COMPUTEX黃仁勳執行長Keynote Watch Party行前會議"
114859, "2025創新創業競賽決賽討論會議"
114858, "淡江大學國際事務學院國際事務與戰略研究所113學年度第2學期第2次所務會議"
114857, "113學年度第2學期第11次校務研究中心學生研究團隊會議"
114856, "第203次行政會議"
114855, "學務處113學年度第2學期工作計畫執行績效評估會議"
114854, "淡江大學淡水校園114年度防護團整編暨基本訓練研習"
114853, "淡江大學113學年度優良技工工友駕駛員推薦會議"
114852, "113學年度財務處優良職工選拔"
114851, "淡江大學114學年度商管學院資訊管理學系 教師評審委員會第3次會議簽到單"
114850, "淡江大學114學年度商管學院資訊管理學系 教師評審委員會第3次會議陳閱單"
114849, "淡江大學114學年度商管學院資訊管理學系 教師評審委員會第2次會議簽到單"
114848, "淡江大學114學年度商管學院資訊管理學系 教師評審委員會第2次會議陳閱單"
114847, "113學年度淡江大學教師跨領域研究社群-AI 影響力投資網絡活動5"
114846, "113-2「社會議題探索暨實踐課程」專題8跨文化走讀「走訪印尼街」"
114845, "淡江大學商管學院產業經濟學系113學年度第6次募款委員會議"
114844, "淡江大學商管學院運輸管理學系系慶討論會議"
114843, "iClass 學習平台「學期成績上傳」工作坊"
114842, "商管學院113學年度優良職工遴選委員會議"
114841, "工學院機械與機電工程學系 114年度智慧製造創新加值應用輔導計畫-智慧製造之系統驅動與優化產學研究計畫會議 (114/5/15)"
114840, "環安中心114年9月TQM小組會議"
114839, "淡江大學師資培育中心113學年度師資培育獎學金續領第三次檢核會議"
114838, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第5次會議(TEST)"
114837, "淡江大學師資培育中心113學年度第2學期第4次TQM小組會議"
114836, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第5次會議(陳閱單)"
114835, "淡江大學師資培育中心113學年度第2學期第4次中心會議"
114834, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第5次會議"
114833, "2025淡江大學馬來西亞中學校長學術工作坊籌備會議"
114832, "學生事務處113 學年度第5次主管會議"
114831, "淡江大學圖書館典藏閱覽組113學年度第7次TQM小組會議"
114830, "統計學系114學年度第3次教師評審委員會議陳閱單"
114829, "統計學系114學年度第3次教師評審委員會議"
114828, "統計學系113學年度第2學期第3次系務會議"
114827, "114學年度以實整虛及遠距教學課程新規範說明會暨實務研習會"
114826, "2025淡江戰略學派年會第五次籌備會"
114825, "113學年度第2學期第3次主管會議暨113學年度優良職工推薦會議"
114824, "淡江大學AI創智學院113學年度第2學期第2次翰可國際股份有限公司獎助學金審查會議"
114823, "淡江大學AI創智學院113學年度第2學期第2次翰可國際股份有限公司獎助學金審查會議"
114822, "教發中心「大一年研究」教師專業社群《學生身心健康關懷分享》講座（實體講座）"
114821, "【微學分】AI實作體驗工作坊-「AI 影片多國語音轉譯」場次02"
114820, "113學年度第2學期第2次工學院學生校外實習委員會會議"
114819, "工學院113學年度第2學期第2次募款委員會會議"
114818, "【歐洲講座】淺談法式生活－南法艾克斯的溺尿街人生"
114817, "學務處113學年度提升AI人工智能運用工作坊第2梯次"
114816, "淡江大學體育事務處教師評審委員會114學年度第4次會議會議紀錄"
114815, "淡江大學體育事務處教師評審委員會114學年度第4次會議"
114814, "淡江大學工學院化學工程與材料工程學系114學年度第4次招生委員會"
114813, "賴阿福老師招生專業化相關經驗分享講座"
114812, "淡江大學教育科技學系系務會議113學年度第2學期第5次會議"
114811, "淡江大學教育科技學系113學年度第2學期第3次TQM會議紀錄"
114810, "淡江大學應用數學與數據科學學系教師評審委員會114學年第2次會議會議紀錄委員簽名表"
114809, "(課程代號：XLSX-102) Excel課程—Power Query"
114808, "教育學院「國際化策進委員會」暨「全英語教學推動小組」會議簽到"
114807, "教育學院113學年度第2學期第2次學生校外實習委員會會議簽到"
114806, "教育學院113學年度第2學期第3次系所中心主管會議簽到"
114805, "淡江大學理學院應用數學與數據科學學系教師評審委員會114學年度第2次會議"
114804, "淡江大學文學院113學年度第2學期第3次系主任座談會"
114803, "〔徵才〕日本/熊本企業就業博覽會"
114802, "機械與機電工程學系114學年度大學個人申請入學學系說明會(5/18)"
114801, "機械與機電工程學系114學年度大學個人申請入學學系說明會(5/17)"
114800, "機械與機電工程學系114學年度大學個人申請入學學系說明會(5/16)"
114799, "新型專班114學年度第1次試務工作說明會"
114798, "總務處113學年度第2學期第2次主管會報"
114797, "節能與空間組114年5月TQM會議"
114796, "淡江大學土木系113學年度第2學期第2次TQM會議"
114795, "德國語文學系：解譯口譯工作坊: 口譯員的分神多工"
114794, "USR社會參與課程學習成效暨社會影響力調查問卷討論會議"
114793, "113學年度淡江大學教師跨領域研究社群-檢索增強生成技術之產業應用"
114792, "淡江大學機械與機電工程學系113學年度第2學期第3次全面品質管理小組會議"
114791, "QUT雙聯學位第2次討論會前會"
114790, "外交與國際關係學系新設學士班課程架構討論會第2次會議"
114789, "教育學院教師評審委員會114學年度第2次會議陳閱單"
114788, "教育學院教師評審委員會114學年度第2次會議"
114787, "智園iClass相關事宜討論會"
114786, "「淡江e筆雙軌發展研發計畫」113 學年度第2學期第3次會議"
114785, "淡江大學國際事務學院國際化策進委員會113學年度第1次會議"
114784, "淡江大學114學年度精準健康學院高齡健康管理學研究所 所長遴選委員會議"
114783, "投稿不踩雷：如何選擇投稿期刊"
114782, "淡江大學品質保證稽核處、校務研究中心113學年度第4次業務會議"
114781, "淡江大學114學年度「升遷及轉任-數位轉型素養與應用」考試"
114780, "淡江大學114學年度「校約聘人員轉任正式編制人員」考試"
114779, "淡江大學114學年度「專任職員升遷」考試"
114778, "大學先修碩士班課程說明會"
114777, "113學年度第1次品管例會"
114776, "(陳閱單)淡江大學114學年度商管學院運輸管理學系教師評審委員會第2次會議"
114775, "(簽到單)淡江大學114學年度商管學院運輸管理學系教師評審委員會第2次會議"
114774, "淡江大學資訊管理學系113學年度第5次募款會議"
114773, "工學院航空太空工程學系與澳聯航空學院－合作備忘錄簽署儀式"
114772, "淡江大學商管學院風險管理與保險學系113學年度第2學期第2次TQM會議"
114771, "2025赴大陸姊妹校新舊交換生茶會"
114770, "淡江大學水資源及環境工程學系113學年度第2學期第3次學術審議委員會會議"
114769, "資訊處網路管理組114年5月TQM小組會議"
114768, "成效問卷會議"
114767, "淡江大學中國文學學系113學年度第2學期第3次系務會議"
114766, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第4次會議(陳閱單)"
114765, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第4次會議"
114764, "機械與機電工程學系113學年度第2學期學生校外實習委員會第3次會議"
114763, "淡江大學累積賸餘款基金投資管理委員會113學年度第2次專家小組會議"
114762, "淡江大學教務處教師評審委員會114學年度第3次會議"
114761, "教務處通識與核心課程中心教師評審委員會114學年度第3次會議"
114760, "資訊處遠距中心114年5月TQM小組會議"
114759, "淡江大學經濟學系114學年度大學「申請入學」線上資料審查委員會議"
114758, "淡江大學商管學院國際企業學系大學部114學年度申請入學書審委員會議"
114757, "淡江大學物理系常務委員會113學年度第4次會議"
114756, "淡江大學國際事務學院全球政治經濟學系113學年度第2學期全英語教學教師社群會議"
114755, "113學年度第1學期第10次校務研究中心學生研究團隊會議"
114754, "高教深耕計畫專任助理工作檢討會議"
114753, "淡江大學師資培育中心教師評審委員會114學年度第2次會議-結束"
114752, "淡江大學師資培育中心教師評審委員會114學年度第2次會議-起始"
114751, "教發中心「大一年研究」教師專業社群《教學實踐研究計畫之他山之石》講座"
114750, "教發中心「大一年研究」教師專業社群《境外生輔導經驗分享》講座"
114749, "教發中心「大一年研究」教師專業社群《大一年研究與校務資料》講座"
114748, "淡江大學土木工程學系113學年度第2學期第2次系學生校外實習委員會"
114747, "水環系113學年度第2學期第2次全面品質管理小組會議"
114746, "淡江大學工學院電機工程學系114學年度大學申請入學第2階段團體面試第2次共識會議"
114745, "2025年赴英歐語組姊妹校新舊交換生茶會"
114744, "淡江大學教務處註冊課務發展中心TQM小組113學年度第7次會議"
114743, "2025文錙盃e筆書法比賽"
114742, "淡江大學商管學院國際企業學系經貿管理組114學年度申請入學書審委員會議"
114741, "俄文系教師專業成長社群:淡江大學 教科系 林逸農助理教授/ 題目：AI整合XR元宇宙在俄(外)語教學上的應用"
114740, "淡江大學外交與國際關係學系系課程委員會113學年度第2學期第2次會議"
114739, "智慧AI×語言學習：拆解傳統界限的創新教學策略與語言學習方法"
114738, "114學年度教育學程學生甄選委員會會議"
114737, "114學年度教育學程學生甄選委員會會議"
114736, "2025年雙北港澳生畢業留臺評點制講座"
114735, "113年畢業典禮第一次協調會"
114734, "AI時代下的高效資料蒐集術"
114733, "淡江大學土木工程學系114學年度第2學期第1次招生會議"
114732, "114學年度淡江大學中國文學學系「畢業專題製作」課程規劃會議"
114731, "商管學院113學年度第2學期第2次系所主管座談會暨113學年度國際化策進委員會"
114730, "113-2松濤館內務檢查(複檢)"
114729, "113-2松濤館內務檢查(初檢)"
114728, "淡江大學土木工程學系114學年度第2學期第2次招生會議"
114727, "113-2工讀生工作檢討會暨一般安全衛生教育訓練"
114726, "113-2工讀生工作檢討會暨一般安全衛生教育訓練"
114725, "淡江大學理學院化學學系114學年度招生小組第1次會議"
114724, "113-2諮輔中心個管團督場次1"
114723, "淡江大學電機系113-2學期賴友仁老師培領助學金審查會"
114722, "智慧AI×語言學習：拆解傳統界限的創新教學策略與語言學習方法"
114721, "淡江大學商管學院公共行政學系113學年度第2學期第2次TQM會議 簽到單"
