"event_code", "event_name"
102999, "理學院尖端材料科學學程111學年度招生委員會第3次會議"
102998, "CSA-11/25 Power Automate初探"
102997, "淡江大學AI創智學院111學年度第1次TQM小組會議"
102996, "TQM"
102995, "iClass學習平台「線上測驗實作介紹」(第二梯)"
102994, "iClass學習平台「線上測驗實作介紹」(第一梯)"
102993, "111學年度第一學期作文與會話小組委員會議"
102992, "演講: 下一個烏克蘭？俄烏戰爭的反思"
102991, "淡江大學圖書館參考組111學年度第3次TQM小組會議"
102990, "淡江大學國際事務學院全球政治經濟學系 111學年度第1學期第3次TQM小組會議"
102989, "淡江大學112-116年高等教育深耕計畫「面向四：提升高教公共性」計畫書第2次撰寫會議"
102988, "外交系『業師請益職場指路』全英文專題演講-馮暄諭諮商心理師"
102987, "淡江大學國際事務學院全球政治經濟學系111學年度第1學期全英語教學教師社群會議"
102986, "淡江大學圖書館數位資訊組111學年度第3次TQM小組會議"
102985, "昨日今日明日元宇宙在數位學習(或語言學習)上的應用"
102984, "國際觀光管理學系全英語學士班 111學年度第1學期第3次系務會議"
102983, "國際觀光管理學系全英語學士班 課程委員會111學年度第3次會議"
102982, "111學年度教設系碩士班整併第1次課程會議"
102981, "國際觀光管理學系全英語學士班 111學年度第5次教師評審委員會會議"
102980, "國際觀光管理學系全英語學士班 111學年度第1學期第3次募款委員會會議"
102979, "國際觀光管理學系全英語學士班 111學年度第1學期第3次TQM會議"
102978, "觀光系12月EMI教師社群活動日"
102977, "校務發展計畫主軸六111學年度第1次管考會議"
102976, "淡江大學德國語文學系TQM小組111學年度第1學期第3次會議（11月）"
102975, "淡江大學德國語文學系TQM小組111學年度第1學期第3次會議（11月）"
102974, "111學年度第一學期電子學位論文服務系統上傳技巧"
102973, "淡江大學工學院111學年度第1學期第2次TQM會議"
102972, "工學院111學年度第1學期第3次主管會議"
102971, "TEST"
102970, "淡江大學111學年度校務發展計畫研究主軸追蹤管考第1次會議"
102969, "第187次行政會議"
102968, "111-1松濤館內務複檢"
102967, "111-1松濤館內務初檢"
102966, "【數位教學推廣培力講座】輕鬆打造高互動數位教學"
102965, "淡江大學111學年度淡水校園住宿書院【酒瓶微醺燈】活動"
102964, "淡江大學111學年度淡水校園住宿書院【彩晶琉璃墜飾】活動"
102963, "轉換雲端總機後情境模擬教育訓練，單位如何改變習摜及設定話機功能來應變。"
102962, "Excel課程—樞紐分析表"
102961, "2022英文系感恩節晚會"
102960, "淡江大學俄國語文學系教師評審委員會111學年度第4次會議紀錄陳閱單"
102959, "淡江大學工學院電機工程學系111學年度第1學期第3次學術審議委員會議"
102958, "淡江大學俄國語文學系教師評審委員會111學年度第4次會議"
102956, "「工程專業領導人才培育學分學程」說明會---電通2"
102955, "「工程專業領導人才培育學分學程」說明會---電機2"
102954, "「工程專業領導人才培育學分學程」說明會---電資2"
102953, "111全民外交研習營青年班-專題演講-淡江大學場（中文進行）"
102952, "[廣師求益，化鐵為金] 化學系腦力激盪-上午場"
102951, "[廣師求益，化鐵為金] 化學系腦力激盪-下午場"
102950, "第二期高等教育深耕計畫:面向三--產學合作連結工作小組第2次會議"
102949, "文學院資傳系111學年度第1次系募款委員會"
102948, "日文系活動:日本麗澤大學副校長堀內一史教授演講"
102947, "文學院資傳系111學年度第1學期第2次系務會議"
102946, "淡江大學商管學院風險管理與保險學系招生委員會 112學年度第2次會議"
