"event_code", "event_name"
100997, "淡江大學國際事務學院募款管理委員會110學年度第2學期第3次會議"
100996, "數學系111學年第5次教師評審委員會會議紀錄簽名單"
100995, "數學系111學年第5次教師評審會議"
100994, "110學年度第2學期 英文系獎學金評審會議"
100993, "災害防救委員會110學年度第2學期會議"
100977, "淡江大學國際事務與戰略研究所研究生碩士論文公開發表會(第一天)"
100976, "外交系系學會協調說明會"
100969, "法文系：110-2學期法文系碩士生讀書會成果發表"
100968, "歷史地理跨域整合研究社群(3)：批判性思考與歷史教育之研究——以歷史學習者製作報告之歷程為例"
100963, "法文系：110-2學期法文系碩士生研究進度報告"
100962, "蘭陽校園搖滾社成果發表"
100961, "淡江大學社會分析學門110學年度第2學期第2次課程委員會"
100960, "淡江大學通識教育課程委員會111學年度第1學期第1次會議"
100959, "淡江大學通識教育行政會議111學年度第1學期第1次會議"
100958, "淡江大學通識教育委員會111學年度第1學期第1次會議"
100957, "110學年度第2學期第3次課程外審委員會會議"
100956, "淡江大學校共通課程委員會111學年度第1學期第1次會議"
100955, "111學年度第1學期課程外審委員會會議"
100954, "110學年度教師專業成長社群--「電機系永續發展社」第4次活動"
100953, "端午立蛋：粽味飄香"
100952, "110學年度第2學期第2次哲宗學門課程委員會會議"
100951, "「淡江大學基本素養評量系統之研發計畫」110學年度第5次計畫小組會議"
100934, "法文系學會講座：人‧Amour‧自己(法文系)"
100933, "法文系學會講座：未來沒想法 學姊，aidez-moi !(法文系)"
100932, "111學年度第2次教師評審委員會會議"
100931, "111學年度大學申請入學書審委員正式評分前召開尺規共識會議"
100930, "111學年度大學申請入學書審委員正式評分前召開尺規共識會議"
100929, "111學年度大學申請入學書審委員正式評分前召開尺規共識會議"
100928, "理學院尖端材料教師評審委員會111學年度第2次會議紀錄"
100927, "淡江大學英文學系教師評審委員會111學年度第6次會議"
100926, "111學年度商管學院經濟學系教師評審委員會第4次會議陳閱"
100925, "111學年度商管學院經濟學系教師評審委員會第4次會議"
100924, "淡江大學國際事務學院教師評審委員會111學年度第2次會議紀錄陳閱單"
100923, "110學年度第2學期通識與核心課程中心第2次中心會議暨第8次TQM小組會議"
100922, "企業管理學系110學年度第2學期第3次TQM小組會議"
100921, "淡江大學國際事務學院教師評審委員會111學年度第2次會議"
100920, "110學年度第2學期第二次未來學門課程會議"
100903, "淡江大學推廣教育處110學年度第2學期處務會議"
100902, "110學年度國企系大三出國維諾納州立大學行前說明會"
100901, "淡江大學國際事務學院全球政治經濟學系教師評審委員會111學年度第2次會議紀錄陳閱"
100900, "淡江大學文學院中國文學學系111學年度教師評審委員會第6次會議(會議紀錄陳閱)"
100899, "淡江大學文學院中國文學學系111學年度教師評審委員會第6次會議"
100898, "日文系111學年度教師評審委員會第3次會議紀錄"
100897, "社群聆聽與網路輿情分析"
100896, "網路輿情大數據分析 – 創造數據新價值"
100895, "淡江大學高等教育深耕計畫面向二111年度預算協調會議"
100894, "淡江大學高等教育深耕計畫面向二111年度預算協調會議"
100893, "淡江大學國際事務學院日本政經研究所TQM小組會議110學年度第2學期第3次會議"
100892, "日本政經研究所募款管理委員會110學年度第2學期第1次會議"
100885, "淡江大學創辦人張建邦博士暨張姜文錙伉儷熊貓講座基金管理委員會第2屆第2次會議"
100884, "學務處110學年度第2學期工作計畫執行績效評估會議"
100883, "111學年第3次日文系系教師評審會議"
100882, "淡江大學教育學院110學年度第2學期第2次院務會議(擴大會議)"
100881, "淡江大學教育學院招生委員會111學年度第3次會議"
100880, "淡江大學文學院資訊與圖書館學系111學年度 教師評審委員會第5次會議(會後)"
100879, "淡江大學文學院資訊與圖書館學系111學年度 教師評審委員會第5次會議"
100878, "110學年度第2學期第2次教師團隊會議"
100877, "110學年度優九聯盟會計委員會"
100876, "110學年度教師社群成果展示暨經驗分享"
100875, "資圖系--淡江大學111學年度大學「申請入學」資料審查委員會議"
100874, "淡江大學文學院中國文學學系111學年度教師評審委員會第5次會議(會議紀錄陳閱)"
100873, "資訊管理學系教師專業成長社群:程式教學研討小組場次二5/31"
100872, "淡江大學國際事務學院110學年度第2學期全英語教學課程學生期末座談會"
100871, "淡江大學國際事務學院110學年度第2學期全英語教學教師期末座談會"
100870, "淡江大學工學院電機工程學系110學年度第2學期第3次學術審議委員會"
100869, "研議2022臺灣通識教育策略聯盟暨品質策進會@淡江大學大會 之籌備相關事宜第1次會議"
100868, "淡江大學國際事務學院中國大陸研究所TQM小組會議110學年度第2學期第3次會議"
100867, "淡江大學國際事務學院中國大陸洲研究所TQM小組會議110學年度第2學期第3次會議"
