"event_code", "event_name"
117999, "大傳學會-角頭崛起-蘭陽爭霸戰"
117998, "實作型跨校全英語授課工作坊：EMI 在台灣是什麼意思？"
117997, "淡江大學生輔組再跑一圈第4次會議"
117996, "淡江大學學生事務處生輔組114學年度第1學期第3次TQM會議"
117995, "圍棋社-上學期社課3"
117994, "攝影社-美食手機攝影講座"
117993, "企管學會-北企盃"
117992, "物理學會-期中放鬆電影院"
117991, "114學年度第1學期商管學院個資內部稽核結束會議"
117990, "淡江大學教務處通識與核心課程中心教師評審委員會114學年度第5次會議"
117989, "淡江大學國際事務學院全球政治經濟學系教師評審委員會114學年度第4次會議記錄陳閱"
117988, "淡江大學國際事務學院全球政治經濟學系教師評審委員會114學年度第4次會議"
117987, "114年度招生策略中心個人資料侵害事件演練"
117986, "淡江大學圖書館數位資訊組114學年度第3次TQM小組會議"
117985, "智慧訓練成果發表第二次輔導會議(北分署)"
117984, "114人文社會卓越計畫第4次討論會"
117983, "114人文及社會科學研究卓越計畫第3次討論會"
117982, "114研究發展處數據資料視覺化第4次工作坊"
117981, "教科學會-會計x教科兩系聯合制服系烤"
117980, "機車研究社-講師授課-機車構造"
117979, "西洋劍社-114學年度社內新生盃"
117978, "115學年度碩博士班甄試入學/特殊選才招生監試說明會"
117977, "自由搏擊社-基礎角力及站立技防身與運用4"
117976, "資訊處遠距中心114年12月TQM小組會議"
117975, "114學年度「大專校院學生雙語化學習計畫」經費編列會議"
117974, "淡江大學理學院物理學系學生校外實習委員會114學年度第2次會議"
117973, "咖啡社-心靈咖啡館"
117971, "證券研究社-葉怡成-量化投資與選股教學"
117970, "淡江大學嘻哈研究社-勉勵週"
117969, "模型研究社-模型技術教學-下"
117968, "114學年度第1學期個人資料管理制度暨數位能力內部稽核人力資源處結束會議"
117967, "114學年度第1學期個人資料管理制度暨數位能力內部稽核人力資源處起始會議"
117966, "學園團契社-新世紀福音戰士"
117965, "114學年度起實習、實驗課程教學評量討論會議"
117964, "114學年度修繕採購委員會第4次會議"
117963, "114學年度校友處QCC第3次會議"
