"event_code", "event_name"
110935, "淡江大學114學年度商管學院國際企業學系招生委員會第 1次會議"
110934, "國際企業學系113學年度第1學期第1次課程委員會"
110933, "國際企業學系113學年度第1學期第1次系務會議"
110932, "人力資源處113學年度第1次處務會議"
110931, "新北市青年局參訪活動"
110930, "通識與核心課程中心教學實踐研究計畫分享會"
110929, "淡江大學商管學院運輸管理學系113學年度碩士班新生座談會簽到單"
110928, "113年10月大學校院校務資料庫資料表冊填報及 院系所資料蒐集說明會"
110927, "淡江大學商管學院「運管系」教學研究委員會113學年度第1次會議"
110926, "淡江大學113學年度商管學院運輸管理學系教師評審委員會第6次會議陳閱單"
110925, "淡江大學113學年度商管學院運輸管理學系教師評審委員會第6次會議簽到單"
110924, "淡江大學理學院TQM暨個資管理制度會議113學年度第1次會議"
110923, "淡江大學商管學院公共行政學系課程委員會113學年度第1次會議簽到單"
110922, "淡江大學113學年度通識教育課程 公民社會及參與學門第1次課程會議簽到單"
110921, "淡江大學文錙藝術中心113學年度第1學期第1次會議"
110920, "國際觀光管理學系全英語學士班113學年度第1學期第2次系務會議"
110919, "淡江大學全球視野學門113學年度第1學期第1次課程委員會會議"
110918, "113學年度境外新生入學歡迎會"
110917, "出租爺奶輔導會議113-0827"
110916, "慶祝創校74週年校慶工作籌備會議"
110915, "公共行政學系 「115學年度更名公共行政暨法律學系說明」-兼任教師簽到單"
110914, "應用數學與數據科學學系113學年度第1學期第1次系務會議"
110913, "淡江大學商管學院產業經濟學系113學年度第1學期第1次系務會議"
110912, "淡江大學產業經濟學系113學年度研究所新生座談會"
110911, "淡江大學文學院資訊與圖書館學系113學年度第1學期第1次TQM會議"
110910, "113學年度碩班新生說明會"
110909, "113學年度永續中心業務會議"
110908, "淡江大學高等教育深耕計畫113年度第2次工作說明會"
110906, "淡江大學師資培育中心112學年度師資培育獎學金續領第四次檢核會議"
110905, "淡江大學師資培育中心112學年度師資培育獎學金續領第四次檢核會議"
110904, "淡江大學師資培育中心113學年度第1學期第1次募款委員會議"
110903, "淡江大學113學年度商管學院公共行政學系教師評審委員會第2次會議簽到單"
110902, "淡江大學圖書館數位資訊組113學年第1次組務會議"
110901, "淡江大學商管學院公共行政學系113學年度第1學期第1次系務會議簽到單"
110900, "113學年度第1學期大二異地學習行前會議"
110899, "淡江大學風險管理與保險學系課程委員會113學年度第1學期第1次會議"
110898, "淡江大學風險管理與保險學系招生委員會114學年度第1次會議"
110897, "淡江大學風險管理與保險學系113學年度1學期第1次系務會議"
110896, "淡江大學工學院電機工程學系113學年度第1學期第1次系務會議"
110895, "淡江大學工學院電機工程學系招生委員會114學年度第1次會議"
110894, "淡江大學113學年度第1學期商管學院財務金融學系第1次系務會議"
110893, "淡江大學外國語文學院日本語文學系招生委員113學年度第1學期第1次會議"
110892, "113-1招生工作小組會議(TEST)"
110891, "113-1招生工作小組會議"
110890, "淡江大學校務發展計畫113學年度第1次工作會議&113年度第三週期大學校院校務評鑑第9次會議"
110889, "淡江大學招生委員會113學年度第10次會議"
110888, "淡江大學英文學系教師評審委員會113學年度第4次會議"
110887, "淡江大學學生事務處課外活動輔導組113學年度第1學期第1次TQM會議"
110886, "淡江大學學生事務處課外活動輔導組113學年度第1學期第1次組務會議"
110885, "【藝術欣賞與創作】學門會議暨課程委員會會議 113學年度第1學期第1次會議"
