"event_code", "event_name"
113999, "職涯導師諮詢"
113998, "PwC 資誠創新諮詢 徵才說明會 (線上)"
113997, "淡江大學114學年度工學院電機工程學系電機組教師評審委員會第1次會議"
113996, "淡江大學114學年度工學院電機工程學系電通組教師評審委員會第1次會議"
113995, "淡江大學學生事務處住宿輔導組113學年度第2學期第2次TQM會議"
113994, "淡江大學學生事務處住宿輔導組113學年度第2學期第2次組務會議"
113993, "淡江大學熊貓講座-Sustainable Finance at the Crossroads - Perspectives from the EU and Germany"
113992, "淡江大學化學學系和新聘教師面談4"
113991, "淡江大學工學院水資源及環境工程學系教師評審委員會114學年度第1次會議(陳閱單)"
113990, "淡江大學工學院水資源及環境工程學系教師評審委員會114學年度第1次會議(簽到單)"
113989, "動得剛剛好~你的心率、強度、健康黃金比例"
113987, "你是壓力胖還是情緒肥"
113986, "淡江大學人工智慧學系114學年度學生校外實習說明會(第二場)"
113985, "淡江大學人工智慧學系114學年度學生校外實習說明會(第一場)"
113984, "114年「教育部補助大專校院STEM領域及女性研發人才培育計畫」申請說明會"
113983, "淡江大學化學學系和新聘教師面談3"
113982, "淡江大學化學學系和新聘教師面談2"
113981, "淡江大學化學學系和新聘教師面談1"
113980, "江大學教育與未來設計學系教師評審委員會114學年度第1次會議簽到單"
113979, "淡江大學教育與未來設計學系教師評審委員會114學年度第1次會議陳閱單"
113978, "陳應誠 博士 中研院原子與分子科學研究所"
113977, "農寶科技 李孟修 博士"
113976, "量子機器學習：挑戰與機遇"
113975, "美食廣場暫停營業配套措施說明會"
113974, "淡江大學商管學院獎學金審查委員會113學年度第4次會議"
113973, "淡江大學外語學院俄國語文學系113學年度大三出國甄選"
113972, "淡江大學工學院化學工程與材料工程學系113學年度第2學期第2次募款暨獎學金委員會"
113971, "淡江大學學生事務處衛生保健組(中心)113 學年度第 2學期第 1次TQM 會議"
113970, "圖書館數位資訊組113學年度第5次TQM小組會議"
113969, "物理系114學年度各科授課時間協調會"
113968, "113學年度暑期企業實習說明會"
113967, "113學年度土木系暑期企業實習說明會"
113966, "淡江大學學生事務處衛生保健組(中心)113 學年度第 2學期第 1次TQM 會議"
113965, "淡江大學教務處教師評審委員會114學年度第1次會議"
113964, "113學年度土木工程學系學士班學生先修碩士班課程說明會 & 暑期企業實習說明會"
113963, "教務處通識與核心課程中心教師評審委員會114學年度第1次會議開會通知"
113962, "淡江大學114學年度商管學院公共行政學系教師評審委員會第2次會議  簽到單"
113961, "淡江大學總務處卓越表現獎遴選小組113學年度第2次會議"
113960, "淡江大學114學年度商管學院公共行政學系教師評審委員會第2次會議  陳閱單"
113959, "iPAS 淨零碳規劃管理師(初級)認證研習"
113958, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第2次會議(陳閱單)"
113957, "iPAS 淨零碳規劃管理師(初級)認證研習"
113956, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第2次會議"
