"event_code", "event_name"
105692, "淡江大學人工智慧學系112學年度第1學期第1次系務會議簽到單"
105691, "淡江大學AI創智學院人工智慧學系112學年度第1學期第1次TQM會議紀錄"
105690, "淡江大學人工智慧學系112學年度第1學期第1次獎學金委員會會議簽到單"
105689, "淡江大學人工智慧學系112學年度第1學期第1次課程委員會會議簽到單"
105688, "淡江大學人工智慧學系113學年度第1學期第1次招生委員會會議簽到單"
105687, "教育學院112學年度第1學期第1次院務會議"
105686, "教育學院課程委員會112學年度第1學期第1次會議"
105685, "教育學院招生委員會112學年度第1學期第1次會議"
105684, "淡江大學教育學院教師評審委員會112學年度第5次會議"
105683, "112(1)第1次系務會議,112(1)第1次募款委員會,112(1)第1次國際化策進委員會,112(1)第1次系學術審議委員會會議"
105682, "淡江大學商管學院運輸管理學系 112學年度第1學期第1次課程委員會會議"
105681, "淡江大學商管學院運輸管理學系 112學年度第1次募款委員會議"
105680, "淡江大學商管學院運輸管理學系 112學年度第2次募款委員會議"
105679, "淡江大學商管學院運輸管理學系112學年度第1學期第2次系務會議"
105678, "淡江大學外國語文學院德國語文學系 112學年度第1次德文文法、讀本、語練課程會議"
105677, "淡江大學理學院112學年度第1學期第1次院務會議"
105676, "淡江大學理學院課程委員會112學年度第1次會議"
105675, "112年度高等教育深耕計畫助理工作檢討會"
105674, "淡江大學高等教育深耕計畫112年度工作協調會"
105673, "112年度高等教育深耕計畫助理工作檢討會"
105672, "112年度高等教育深耕計畫助理工作檢討會"
105671, "112年度高等教育深耕計畫助理工作檢討會"
105670, "12年度高等教育深耕計畫助理工作檢討會"
105669, "五虎崗機車停車場通行證貼紙領取"
105668, "112年度高等教育深耕計畫助理工作檢討會"
105667, "淡江大學歷史學系112學年度第1學期第1次募款委員會議簽到單"
105666, "淡江大學文學院歷史學系教師評審委員會112學年度第3次會議陳閱單"
105665, "淡江大學文學院歷史學系教師評審委員會112學年度第3次會議簽到單"
105664, "法文系-外語學院西法德俄四系整併說明會(法文系場)"
105663, "晶元光電參訪AI創智學院實境場域"
105662, "淡江大學國際事務與戰略研究所TQM小組會議112學年度第1學期第1次會議"
105661, "淡江大學國際事務與戰略研究所112學年度第3次所教師評審會議(會議陳閱單)"
